"Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
2025-03-10 09:15:22,28,"Male","India","KA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No",NA
2025-03-10 09:18:45,34,"Female","India","MH","No","No","Yes","Often","100-500","No","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No",NA
2025-03-10 09:22:11,25,"Male","Germany",NA,"No","Yes","No","Rarely","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","No","Yes",NA
2025-03-10 09:30:05,41,"Female","United Kingdom",NA,"Yes","No","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA
2025-03-10 09:35:17,22,"Male","Canada",NA,"No","No","No","Never","1-5","Yes","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No",NA
2025-03-10 09:40:33,38,"male","Australia",NA,"No","Yes","Yes","Often","26-100","No","Yes","No","Not sure","No","No","Don't know","Very difficult","Yes","No","No","No","No","No","No","Yes",NA
2025-03-10 09:45:50,31,"F","United States","CA","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","No","Yes","No",NA
2025-03-10 09:50:12,45,"Male","Brazil",NA,"Yes","Yes","No","Rarely","6-25","Yes","No","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","Yes","No","Maybe","Don't know","No",NA
2025-03-10 10:01:28,27,"female","France",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA
2025-03-10 10:05:44,33,"Male","India","TN","No","Yes","Yes","Often","100-500","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Some of them","Yes","No","No","No","No",NA
